 MUN,AÑO,SEXO,NOM_ENT,EDAD_QUIN,PORCENTAJE
"Álvaro Obregón","2025","Hombres","Ciudad de México","30 a 34 años","0.337421270798418"
"Álvaro Obregón","2025","Hombres","Ciudad de México","35 a 39 años","0.331077880913278"
"Álvaro Obregón","2025","Hombres","Ciudad de México","40 a 44 años","0.302655907859012"
"Álvaro Obregón","2025","Hombres","Ciudad de México","45 a 49 años","0.273987371947019"
"Álvaro Obregón","2025","Hombres","Ciudad de México","50 a 54 años","0.260011740874989"
"Álvaro Obregón","2025","Hombres","Ciudad de México","55 a 59 años","0.235927032636181"
"Álvaro Obregón","2025","Hombres","Ciudad de México","60 a 64 años","0.206216208280164"
"Álvaro Obregón","2025","Hombres","Ciudad de México","65 y más","0.446469298329178"
"Álvaro Obregón","2026","Hombres","Ciudad de México","Hasta 4 años","0.22052255753565"
"Álvaro Obregón","2026","Hombres","Ciudad de México","5 a 9 años","0.23032356009279"
"Álvaro Obregón","2026","Hombres","Ciudad de México","10 a 14 años","0.2441708481093"
"Álvaro Obregón","2026","Hombres","Ciudad de México","15 a 19 años","0.271696828914846"
"Álvaro Obregón","2026","Hombres","Ciudad de México","20 a 24 años","0.297952725673423"
"Álvaro Obregón","2026","Hombres","Ciudad de México","25 a 29 años","0.314666132556986"
"Álvaro Obregón","2026","Hombres","Ciudad de México","30 a 34 años","0.333863509125329"
"Álvaro Obregón","2026","Hombres","Ciudad de México","35 a 39 años","0.33280697903316"
"Álvaro Obregón","2026","Hombres","Ciudad de México","40 a 44 años","0.305921660092015"
"Álvaro Obregón","2026","Hombres","Ciudad de México","45 a 49 años","0.273888566872004"
"Álvaro Obregón","2026","Hombres","Ciudad de México","50 a 54 años","0.260299791537621"
"Álvaro Obregón","2026","Hombres","Ciudad de México","55 a 59 años","0.239112991285088"
"Álvaro Obregón","2026","Hombres","Ciudad de México","60 a 64 años","0.209597586795352"
"Álvaro Obregón","2026","Hombres","Ciudad de México","65 y más","0.46213075818735"
"Álvaro Obregón","2027","Hombres","Ciudad de México","Hasta 4 años","0.216589370231172"
"Álvaro Obregón","2027","Hombres","Ciudad de México","5 a 9 años","0.226330818220747"
"Álvaro Obregón","2027","Hombres","Ciudad de México","10 a 14 años","0.239623835789854"
