persona_id,hogar_id,vivienda_id,upm_diseno,estrato_diseno,anio,cobertura,edad,sexo_codigo,sexo,grupo_edad,factor,asiste_servicio_educativo_cuidado,razon_no_asiste_codigo,razon_no_asiste,horas_diarias_servicio,pago_mensual_servicio_pesos,pago_mensual_topado_98000,modulo_0a5_aplicable,recibio_cuidado_dentro_hogar,recibio_cuidado_otro_hogar,cuidado_otro_hogar_remunerado,pago_semanal_cuidado_externo_pesos,pago_semanal_topado_98000,necesita_mas_cuidado_modulo_0a5,complementaria_con_servicio_educativo_cuidado,cuidador_principal_parentesco_codigo,cuidador_principal_parentesco,cuidador_principal_sexo_codigo,cuidador_principal_edad,n_integrantes,n_ninos_0a5,n_adultos_18mas,barrera_economica_distancia_horario,necesidad_y_preferencia_servicio,P3_10,P3_11,P3_12,P3_14,PN_C0005,P4_16,P4_18,P4_18A,P4_19,P4_21,P4_22,P4_24,P4_25_2,cuidador_id,cuidador_cpea_codigo,cuidador_participa_mercado_laboral
47601105,476011,47601,00476,0075,2022,nacional,1,2,mujer,0-2,2849,1,,,8.0,1600.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,17.0,5,1,1,,0.0,1,,8.0,1600.0,1,1.0,02,1.0,2.0,,,2.0,,47601102,1.0,1.0
47802105,478021,47802,00478,0075,2022,nacional,1,2,mujer,0-2,2484,1,,,5.0,0.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,37.0,5,1,3,,0.0,1,,5.0,0.0,1,1.0,02,1.0,2.0,,,2.0,,47802102,1.0,1.0
47804106,478041,47804,00478,0075,2022,nacional,4,1,hombre,3-5,2484,1,,,3.0,0.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,31.0,7,1,5,,0.0,1,,3.0,0.0,1,1.0,04,1.0,2.0,,,2.0,,47804104,1.0,1.0
47905103,479051,47905,00479,0076,2022,nacional,3,1,hombre,3-5,2328,1,,,5.0,4600.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,43.0,4,1,2,,0.0,1,,5.0,4600.0,1,1.0,02,1.0,2.0,,,2.0,,47905102,1.0,1.0
48005108,480051,48005,00480,0076,2022,nacional,0,1,hombre,0-2,2556,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,36.0,8,1,3,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,48005102,1.0,1.0
48402105,484021,48402,00484,0075,2022,nacional,3,2,mujer,3-5,2474,1,,,3.0,400.0,0,1,0.0,0.0,,,0,0.0,,1.0,Madre,2.0,23.0,5,1,4,,0.0,1,,3.0,400.0,1,2.0,03,1.0,2.0,,,2.0,,48402103,1.0,1.0
48501103,485011,48501,00485,0075,2022,nacional,4,2,mujer,3-5,2589,1,,,3.0,0.0,0,1,0.0,1.0,1.0,600.0,0,0.0,,1.0,Madre,2.0,28.0,3,1,1,,0.0,1,,3.0,0.0,1,2.0,01,1.0,1.0,1.0,600.0,2.0,,48501101,1.0,1.0
48502103,485021,48502,00485,0075,2022,nacional,2,2,mujer,0-2,2589,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,27.0,3,1,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,48502102,1.0,1.0
48505104,485051,48505,00485,0075,2022,nacional,5,1,hombre,3-5,2589,1,,,6.0,1500.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,41.0,4,1,2,,0.0,1,,6.0,1500.0,1,1.0,02,1.0,2.0,,,2.0,,48505102,1.0,1.0
48701105,487011,48701,00487,0076,2022,nacional,5,1,hombre,3-5,3541,1,,,4.0,2800.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,25.0,5,1,4,,0.0,1,,4.0,2800.0,1,1.0,04,1.0,2.0,,,2.0,,48701104,1.0,1.0
