Alcaldia,Fecha,Categoria,Valor
Cuauhtémoc,2019-12-31,Mujeres,45.6
Cuauhtémoc,2020-09-30,Hombres,27.7
Cuauhtémoc,2020-09-30,Mujeres,33.5
Cuauhtémoc,2020-12-31,Hombres,25.7
Cuauhtémoc,2020-12-31,Mujeres,33.7
Cuauhtémoc,2021-06-30,Hombres,22.8
Cuauhtémoc,2021-06-30,Mujeres,28.2
Cuauhtémoc,2021-09-30,Hombres,24.3
Cuauhtémoc,2021-09-30,Mujeres,24.2
Cuauhtémoc,2021-12-31,Hombres,26.4
Cuauhtémoc,2021-12-31,Mujeres,29.8
Cuauhtémoc,2022-03-31,Hombres,30.0
Cuauhtémoc,2022-03-31,Mujeres,31.4
Cuauhtémoc,2022-06-30,Hombres,25.2
Cuauhtémoc,2022-06-30,Mujeres,31.7
Cuauhtémoc,2022-09-30,Hombres,25.6
Cuauhtémoc,2022-09-30,Mujeres,35.2
Cuauhtémoc,2022-12-31,Hombres,21.7
Cuauhtémoc,2022-12-31,Mujeres,31.4
Cuauhtémoc,2023-03-31,Hombres,18.2
Cuauhtémoc,2023-03-31,Mujeres,24.4
Cuauhtémoc,2023-06-30,Hombres,20.0
Cuauhtémoc,2023-06-30,Mujeres,34.3
Cuauhtémoc,2023-09-30,Hombres,20.5
Cuauhtémoc,2023-09-30,Mujeres,37.6
Cuauhtémoc,2023-12-31,Hombres,22.0
Cuauhtémoc,2023-12-31,Mujeres,31.8
Cuauhtémoc,2024-03-31,Hombres,22.7
Cuauhtémoc,2024-03-31,Mujeres,34.7
Cuauhtémoc,2024-06-30,Hombres,16.6
Cuauhtémoc,2024-06-30,Mujeres,26.8
Cuauhtémoc,2024-09-30,Hombres,19.5
Cuauhtémoc,2024-09-30,Mujeres,25.1
Tláhuac,2017-03-31,Hombres,25.0
Tláhuac,2017-03-31,Mujeres,47.3
Tláhuac,2017-06-30,Hombres,38.9
Tláhuac,2017-06-30,Mujeres,35.9
Tláhuac,2017-09-30,Hombres,47.0
Tláhuac,2017-09-30,Mujeres,40.5
Tláhuac,2017-12-31,Hombres,53.1
Tláhuac,2017-12-31,Mujeres,32.4
Tláhuac,2018-03-31,Hombres,43.1
Tláhuac,2018-03-31,Mujeres,46.0
Tláhuac,2018-06-30,Hombres,49.2
Tláhuac,2018-06-30,Mujeres,37.9
Tláhuac,2018-09-30,Hombres,34.2
Tláhuac,2018-09-30,Mujeres,47.4
Tláhuac,2018-12-31,Hombres,24.7
Tláhuac,2018-12-31,Mujeres,55.4
Tláhuac,2019-03-31,Hombres,28.1
Tláhuac,2019-03-31,Mujeres,52.8
Tláhuac,2019-06-30,Hombres,30.9
Tláhuac,2019-06-30,Mujeres,54.7
Tláhuac,2019-09-30,Hombres,27.1
Tláhuac,2019-09-30,Mujeres,46.2
Tláhuac,2019-12-31,Hombres,26.2
Tláhuac,2019-12-31,Mujeres,44.4
Tláhuac,2020-09-30,Hombres,34.7
Tláhuac,2020-09-30,Mujeres,36.4
Tláhuac,2020-12-31,Hombres,29.2
Tláhuac,2020-12-31,Mujeres,32.2
Tláhuac,2021-06-30,Hombres,32.8
Tláhuac,2021-06-30,Mujeres,40.1
Tláhuac,2021-09-30,Hombres,31.6
Tláhuac,2021-09-30,Mujeres,36.5
Tláhuac,2021-12-31,Hombres,31.3
Tláhuac,2021-12-31,Mujeres,34.9
Tláhuac,2022-03-31,Hombres,30.2
Tláhuac,2022-03-31,Mujeres,34.5
Tláhuac,2022-06-30,Hombres,29.9
Tláhuac,2022-06-30,Mujeres,34.6
Tláhuac,2022-09-30,Hombres,31.0
Tláhuac,2022-09-30,Mujeres,38.9
Tláhuac,2022-12-31,Hombres,25.4
Tláhuac,2022-12-31,Mujeres,39.9
Tláhuac,2023-03-31,Hombres,23.0
Tláhuac,2023-03-31,Mujeres,39.1
Tláhuac,2023-06-30,Hombres,21.3
Tláhuac,2023-06-30,Mujeres,38.4
Tláhuac,2023-09-30,Hombres,23.0
Tláhuac,2023-09-30,Mujeres,37.6
Tláhuac,2023-12-31,Hombres,25.9
Tláhuac,2023-12-31,Mujeres,33.5
Tláhuac,2024-03-31,Hombres,22.0
Tláhuac,2024-03-31,Mujeres,29.5
Tláhuac,2024-06-30,Hombres,26.3
Tláhuac,2024-06-30,Mujeres,24.6
Tláhuac,2024-09-30,Hombres,22.8
Tláhuac,2024-09-30,Mujeres,30.8
Coyoacán,2017-03-31,Hombres,27.3
Coyoacán,2017-03-31,Mujeres,44.5
Coyoacán,2017-06-30,Hombres,26.0
Coyoacán,2017-06-30,Mujeres,37.5
Coyoacán,2017-09-30,Hombres,30.4
Coyoacán,2017-09-30,Mujeres,42.0
Coyoacán,2017-12-31,Hombres,26.6
Coyoacán,2017-12-31,Mujeres,50.2
Coyoacán,2018-03-31,Hombres,20.2
Coyoacán,2018-03-31,Mujeres,45.5
Coyoacán,2018-06-30,Hombres,26.0
Coyoacán,2018-06-30,Mujeres,36.4
Coyoacán,2018-09-30,Hombres,36.3
Coyoacán,2018-09-30,Mujeres,28.7
Coyoacán,2018-12-31,Hombres,34.8
Coyoacán,2018-12-31,Mujeres,42.9
Coyoacán,2019-03-31,Hombres,31.5
Coyoacán,2019-03-31,Mujeres,46.8
Coyoacán,2019-06-30,Hombres,27.4
Coyoacán,2019-06-30,Mujeres,50.5
Coyoacán,2019-09-30,Hombres,24.9
Coyoacán,2019-09-30,Mujeres,38.6
Coyoacán,2019-12-31,Hombres,30.2
Coyoacán,2019-12-31,Mujeres,31.3
Coyoacán,2020-09-30,Hombres,23.8
Coyoacán,2020-09-30,Mujeres,29.8
Coyoacán,2020-12-31,Hombres,21.9
Coyoacán,2020-12-31,Mujeres,30.5
Coyoacán,2021-06-30,Hombres,25.5
Coyoacán,2021-06-30,Mujeres,26.0
Coyoacán,2021-09-30,Hombres,20.2
Coyoacán,2021-09-30,Mujeres,26.1
Coyoacán,2021-12-31,Hombres,19.5
Coyoacán,2021-12-31,Mujeres,17.2
Coyoacán,2022-03-31,Hombres,26.8
Coyoacán,2022-03-31,Mujeres,31.2
Coyoacán,2022-06-30,Hombres,25.1
Coyoacán,2022-06-30,Mujeres,27.2
Coyoacán,2022-09-30,Hombres,23.8
Coyoacán,2022-09-30,Mujeres,29.3
Coyoacán,2022-12-31,Hombres,16.0
Coyoacán,2022-12-31,Mujeres,23.8
Coyoacán,2023-03-31,Hombres,17.3
Coyoacán,2023-03-31,Mujeres,27.9
Coyoacán,2023-06-30,Hombres,19.5
Coyoacán,2023-06-30,Mujeres,26.4
Coyoacán,2023-09-30,Hombres,20.9
Coyoacán,2023-09-30,Mujeres,27.9
Coyoacán,2023-12-31,Hombres,17.4
Coyoacán,2023-12-31,Mujeres,29.9
Coyoacán,2024-03-31,Hombres,17.1
Coyoacán,2024-03-31,Mujeres,27.7
Coyoacán,2024-06-30,Hombres,20.0
Coyoacán,2024-06-30,Mujeres,25.4
Coyoacán,2024-09-30,Hombres,18.4
Coyoacán,2024-09-30,Mujeres,28.8
Azcapotzalco,2017-03-31,Hombres,21.7
Azcapotzalco,2017-03-31,Mujeres,59.1
Azcapotzalco,2017-06-30,Hombres,23.6
Azcapotzalco,2017-06-30,Mujeres,50.2
Azcapotzalco,2017-09-30,Hombres,20.6
Azcapotzalco,2017-09-30,Mujeres,68.7
Azcapotzalco,2017-12-31,Hombres,16.8
Azcapotzalco,2017-12-31,Mujeres,60.6
Azcapotzalco,2018-03-31,Hombres,20.2
